product_id,name,regular_price,promo_price,brand,city
1000369984,Кисломолочный напиток Exponenta High-Pro обезжиренный клубника арбуз 250г,,179.99,Exponenta,moscow
1899800795,Кефир Простоквашино 3.2% 930г,,99.0,Простоквашино,moscow
1000450005,Сыр Sveza творожный с зеленью 60% 150г,139.99,109.99,Sveza,moscow
1000545577,Кисломолочный напиток Exponenta Черника-голубика обезжиренный 500г,,169.99,Exponenta,moscow
1000138066,Биойогурт питьевой Тема Банан и земляника 2.8% 210г,,53.32,Тема,moscow
1000429961,Продукт творожный Простоквашино малина 3.6% 130г,,44.99,Простоквашино,moscow
1000172272,Молоко детское Агуша ультрапастеризованное 3.2% 925мл,,149.99,Агуша,moscow
1000011186,Продукт творожный Даниссимо со вкусом пломбира 5.4% 130г,,59.99,Даниссимо,moscow
1000281071,Десерт творожный Чудо Ягодное мороженое 5.8% 85г,55.99,41.99,Чудо,moscow
1000508290,Биойогурт Актибио с черникой 5 злаками и семенами льна 3% 130г,,44.99,Актибио,moscow
1051242603,Творог детский Агуша Классический 4.5% 100г,,44.99,Агуша,moscow
1000581984,Плавленый продукт Переяславль Сливочный 25% 130г,84.99,56.99,Рязанский ЗПС,moscow
3073080014,Продукт йогуртный Campina Нежный с соком клубники 1.2% 100г,,23.99,Нежный,moscow
1000109601,Биолакт Тема сладкий 3.2% 208г,,59.99,Тема,moscow
1000122984,Сыр творожный Violette с креветками 70% 140г,159.99,109.99,Violette,moscow
1000429965,Биолакт детский Тема яблоко груша 3.0% 206г,,59.99,Тема,moscow
1000195107,Продукт йогуртный Alpenland Лесная ягода яблоко груша 0.3% 95г,,22.99,Alpenland,moscow
1899900785,Йогурт питьевой Фруате Клубника киви 1.5% 950мл,,124.99,Фруате,moscow
1728400015,Майонез Слобода Оливковый 67% 375г,,149.99,Слобода,moscow
1000554514,Майонез Ряба Провансаль 50.5% 575г,199.99,129.99,Ряба,moscow
1000545574,Кисломолочный напиток Exponenta Дыня кантал обезжиренный 500г,,179.99,Exponenta,moscow
1000493764,Йогурт Фругурт Вишня 2% 240г,73.99,62.99,Фругурт,moscow
1000238205,Сырок глазированный Ростагроэкспорт с ароматом ванили 20% 45г,,39.99,А.Ростагрокомплекс,moscow
1000172541,Йогурт Чудо Клубника земляника 2% 290г,,84.99,Чудо,moscow
1000206976,Детский творог с малиной с 6 месяцев Фрутоняня 4.2% 100г,,59.99,Фрутоняня,moscow
1000291829,Продукт йогуртный Эрмигурт Клубника земляника 7.5% 100г,,33.99,Эрмигурт,moscow
1000385207,Ряженка Агуша Детская Клубника 2.9% 180г,,45.99,Агуша,moscow
1000508313,Биойогурт Актибио Отруби злаки 2.9% 130г,,44.99,Актибио,moscow
1051242602,Молоко детское Агуша витаминизированное стерилизованное 2.5% 200мл,,71.99,Агуша,moscow
1000494816,Йогурт Фругурт Клубника-Малина 2% 240г,73.99,62.99,Фругурт,moscow
1000478805,Творожок Чудо Воздушный со вкусом пломбира 5.8% 85г,55.99,41.99,Чудо,moscow
1812432013,Творог детский Агуша фруктовый Груша 3.9% 100г,,44.99,Агуша,moscow
1000508317,Биойогурт Актибио Чернослив 2.9% 130г,,44.99,Актибио,moscow
1000394258,Йогурт Царка манго 3.5% 400г,,93.99,Царка,moscow
1000313702,Йогурт Греческий с грецким орехом и медом Teos 2% 140г,,65.99,Teos,moscow
1000179908,Майонез Слобода Провансаль Оливковый 67% 94г,,31.99,Слобода,moscow
1000383833,Молоко сгущенное Рогачевъ цельное 8.5% 270г,,129.0,Рогачевъ,moscow
1000262381,Масло сливочное Брест-Литовск 72.5% 180г,,189.99,Брест-Литовск,moscow
1000490401,Соус майонезный Моя цена Легкий 25% 220мл,,34.99,Моя цена,moscow
1000244512,Молоко сгущенное Рогачевъ Вареное с сахаром 8.5% 360г,209.99,169.99,Рогачевъ,moscow
1000379971,Молоко сгущенное Магнит вареное с сахаром 8.5% 360г,,159.99,Магнит,moscow
1000385205,Ряженка Агуша Детская 3.2% 180г,,45.99,Агуша,moscow
1000536154,Снежок детский Клубника-земляника 2% с 12 месяцев Фрутоняня 200мл,,51.99,Фрутоняня,moscow
1000521208,Масло сливочное Вкуснотеево Традиционное 82.5% 340г,,379.99,Вкуснотеево,moscow
1000206971,Питьевой йогурт с клубникой и бананом с 8 месяцев Фрутоняня 2.5% 200мл,,74.99,Фрутоняня,moscow
3010420008,Молочный коктейль Чудо Шоколад 3% 200мл,70.49,47.99,Чудо,moscow
1000501241,Сыр творожный President Сливочный 56% 140г,179.99,119.99,President,moscow
